Region,Country,State,City,Office
North America,USA,California,Los Angeles,Headquarters
Europe,UK,England,London,Global HQ
Asia,China,Guangdong,Shenzhen,Hardware Hub
South America,Brazil,São Paulo,São Paulo,LatAm Base
Africa,Egypt,Cairo,Cairo,Pyramid Center
Oceania,Australia,NSW,Sydney,Harbour View
Middle East,UAE,Dubai,Dubai,Sand Spire
Scandinavia,Sweden,Stockholm,Stockholm,Ice Fort
Eastern Europe,Poland,Warsaw,Warsaw,East Hub
Alpine,Switzerland,Zurich,Zurich,Neutral Base
Mediterranean,Greece,Athens,Athens,Ancient Hub
Caribbean,Jamaica,Kingston,Kingston,Island Link
South Asia,India,Karnataka,Bangalore,Dev Center
Central Asia,Kazakhstan,Almaty,Almaty,Silk Road Base
Balkans,Croatia,Zagreb,Zagreb,Dalmatian Node
Baltics,Estonia,Tallinn,Tallinn,Digital Base
Maghreb,Morocco,Casablanca,Casablanca,Desert Port
Iberia,Spain,Madrid,Madrid,Sunshine Hub
Benelux,Belgium,Brussels,Brussels,EU Node
Caucasus,Georgia,Tbilisi,Tbilisi,Mountain Hub
Polynesia,Fiji,Suva,Suva,Pacific Base
Micronesia,Palau,Koror,Koror,Island Oasis
Macaronesia,Portugal,Azores,Ponta Delgada,Atlantic Hub
Antarctica,Antarctica,Ross Island,McMurdo,Cold Point
North Pole,Arctic,Ice Cap,Santa City,North Base
